id,name,email,password,remember_token,created_at,updated_at
49,E.M.E.I ANNA HILDA LEITE FARIAS,centroannahilda@gmail.com,123456,,,
50,E.M.E.I ANTONIO GUILHERMINO,11teste@gmail.com,123456,,,
51,E.M.E.I ARLINDA ALVES VARJÃO,34teste@gmail.com,123456,,,
52,E.M.E.I BOM JESUS DOS NAVEGANTES,35teste@gmail.com,123456,,,
53,E.M.E.I CAIC MISAEL AGUILAR,12teste@gmail.com,123456,,,
54,E.M.E.I DILMA CALMON DE OLIVEIRA,37teste@gmail.com,123456,,,
55,E.M.E.I EDIVANIA SANTOS CARDOSO,38teste@gmail.com,123456,,,
56,E.M.E.I GENTIL DAMASIO DO NASCIMENTO,13teste@gmail.com,123456,,,
57,E.M.E.I HELOÍSA HELENA BENEVIDES FARIAS,14teste@gmail.com,123456,,,
58,E.M.E.I JANDIRA BORGES,15teste@gmail.com,123456,,,
59,E.M.E.I LENI LOPES,16teste@gmail.com,123456,,,
60,E.M.E.I LUANA DA SILVA NASCIMENTO,emeiluanadasilva@gmail.com,123456,,,
61,E.M.E.I LUZINETE DE OLIVEIRA,17teste@gmail.com,123456,,,
62,E.M.E.I MANOEL ALVES DA MOTA,18teste@gmail.com,123456,,,
63,E.M.E.I MARIA HELENA DA SILVA PEREIRA,39teste@gmail.com,123456,,,
64,E.M.E.I MARIA HOZANA NUNES,40teste@gmail.com,123456,,,
65,E.M.E.I MARIA JULIA RODRIGUES TANURI,19teste@gmail.com,123456,,,
66,E.M.E.I MARIA SUELY MEDRADO ARAÚJO,41teste@gmail.com,123456,,,
67,E.M.E.I MARIA VIANA TANURI,20teste@gmail.com,123456,,,
68,E.M.E.I NAILDE DE SOUZA COSTA,emeinailde@hotmail.com,123456,,,
69,E.M.E.I NATALIA RODRIGUES,21teste@gmail.com,123456,,,
70,E.M.E.I NELIA DE SOUZA COSTA,22teste@gmail.com,123456,,,
71,E.M.E.I NOSSO SENHOR DOS AFLITOS,23teste@gmail.com,123456,,,
72,E.M.E.I PASTOR MANOEL MARQUES,30teste@gmail.com,123456,,,
73,E.M.E.I PRIMAVERA,1teste@gmail.com,123456,,,
74,E.M.E.I SEMENTE DO AMANHA,42teste@gmail.com,123456,,,
75,E.M.E.I. ARCENIO JOSE DA SILVA,43teste@gmail.com,123456,,,
76,EDUCANDÁRIO JOÃO XXIII,2teste@gmail.com,123456,,,
77,ELEOTÉRIO SOARES FONSÊCA,44teste@gmail.com,123456,,,
78,ELISEU SANTOS,24teste@gmail.com,123456,,,
79,ERUM - RURAL DA MASSAROCA,25teste@gmail.com,123456,,,
80,EURÍDICE RIBEIRO VIANA,26teste@gmail.com,123456,,,
81,FAMILIA UNIDA,27teste@gmail.com,123456,,,
82,FUNDAÇÃO LAR FELIZ,28teste@gmail.com,123456,,,
83,HELENA ARAUJO PINHEIRO,45teste@gmail.com,123456,,,
84,HERBET MOUZE RODRIGUES,46teste@gmail.com,123456,,,
85,I.F.B. PROFª CRISTIANA DA COSTA BRAGA,47teste@gmail.com,123456,,,
86,JATOBA,48teste@gmail.com,123456,,,
87,JOANA RAMOS,49teste@gmail.com,123456,,,
88,JOAO DIAS FERREIRA,50teste@gmail.com,123456,,,
89,JOAO DIAS FERREIRA - EXT,51teste@gmail.com,123456,,,
90,JOAO NEVES DE ALMEIDA,52teste@gmail.com,123456,,,
91,JOCA DE SOUZA OLIVEIRA,53teste@gmail.com,123456,,,
92,JOSÉ DE AMORIM,54teste@gmail.com,123456,,,
93,JOSE PADILHA DE SOUZA,55teste@gmail.com,123456,,,
94,JUDITE LEAL COSTA,56teste@gmail.com,123456,,,
95,LINDAURA MARIA DE JESUS,57teste@gmail.com,123456,,,
96,LUCIA CARMEM SOBREIRA,58teste@gmail.com,123456,,,
97,LUDGERO DE SOUZA COSTA,59teste@gmail.com,123456,,,
98,MANDACARU,60teste@gmail.com,123456,,,
99,MANOEL DE SOUZA BONFIM,61teste@gmail.com,123456,,,
100,MANOEL GOMES MARTINS,62teste@gmail.com,123456,,,
101,MANOEL LUIZ DA SILVA,63teste@gmail.com,123456,,,
102,MANOEL NUNES AMORIM,64teste@gmail.com,123456,,,
103,MARIA AMÉLIA DE SOUZA OLIVEIRA,65teste@gmail.com,123456,,,
104,MARIA DO CARMO SA NOGUEIRA,66teste@gmail.com,123456,,,
105,MARIA MONTEIRO BACELAR,67teste@gmail.com,123456,,,
106,MARIANO RODRIGUES DE SOUZA,68teste@gmail.com,123456,,,
107,MIGUEL ÂNGELO DE SOUZA,69teste@gmail.com,123456,,,
108,NOSSA SENHORA DAS GROTAS - BOQUEIRAO,70teste@gmail.com,123456,,,
109,NOSSA SENHORA DAS GROTAS - CARNAÍBA,71teste@gmail.com,123456,,,
110,NOSSA SENHORA DAS GROTAS-SEDE,72teste@gmail.com,123456,,,
111,NOSSA SENHORA RAINHA DOS ANJOS,73teste@gmail.com,123456,,,
112,OSORIO TELES DE MENEZES,74teste@gmail.com,123456,,,
113,PASSAGEM DO SARGENTO,75teste@gmail.com,123456,,,
114,PAULO FREIRE,76teste@gmail.com,123456,,,
115,PAULO FREIRE - ABRIL VERMELHO - EXT,77teste@gmail.com,123456,,,
116,PAULO FREIRE - PALMARES - EXT,78teste@gmail.com,123456,,,
117,PAULO VI,79teste@gmail.com,123456,,,
118,PEDRO DIAS,80teste@gmail.com,123456,,,
119,PONTAL,81teste@gmail.com,123456,,,
120,PREFEITO APRÍGIO DUARTE,82teste@gmail.com,123456,,,
121,PRESIDENTE TANCREDO NEVES,83teste@gmail.com,123456,,,
122,PROFª ANTONILA DA FRANÇA CARDOSO,84teste@gmail.com,123456,,,
123,PROFª ATANILHA LUZ ARAUJO,85teste@gmail.com,123456,,,
124,PROFª BERNADETE BRAGA,86teste@gmail.com,123456,,,
125,PROFª CARMEM COSTA SANTOS,87teste@gmail.com,123456,,,
126,PROFª CRENILDES LUIS BRANDÃO,88teste@gmail.com,123456,,,
127,PROFª DINORAH ALBERNAZ MELO DA SILVA,89teste@gmail.com,123456,,,
128,PROFª EDUALDINA DAMASIO,90teste@gmail.com,123456,,,
129,PROFª GRACIOSA XAVIER RAMOS GOMES,91teste@gmail.com,123456,,,
130,PROFª GUIOMAR LUSTOSA RODRIGUES,92teste@gmail.com,123456,,,
131,PROFª HAYDÉE FONSECA FALCÃO,93teste@gmail.com,123456,,,
132,PROFª IRACEMA PEREIRA DA PAIXAO,94teste@gmail.com,123456,,,
133,PROFª IRACY NUNES DA SILVA,95teste@gmail.com,123456,,,
134,PROFª LEOPOLDINA LEAL,96teste@gmail.com,123456,,,
135,PROFª MARIA DE LOURDES DUARTE,97teste@gmail.com,123456,,,
136,PROFª MARIA FRANCA PIRES,98teste@gmail.com,123456,,,
137,PROFª MARIA JOSÉ LIMA DA ROCHA,99teste@gmail.com,123456,,,
156,PROFª MARIA JOSÉ LIMA DA ROCHA - EXT,118teste@gmail.com,123456,,,
138,PROFª MATILDE COSTA MEDRADO,100teste@gmail.com,123456,,,
139,PROFª OSCARLINA TANURI,101teste@gmail.com,123456,,,
140,PROFª TEREZINHA FERREIRA DE OLIVEIRA,102teste@gmail.com,123456,,,
141,PROFº CARLOS DA COSTA SILVA,103teste@gmail.com,123456,,,
142,PROFº JOSÉ PEREIRA DA SILVA,104teste@gmail.com,123456,,,
143,PROFº LUIZ CURSINO DA FRANÇA CARDOSO,105teste@gmail.com,123456,,,
144,PROMENOR,106teste@gmail.com,123456,,,
145,RAIMUNDO CLEMENTINO DE SOUZA,107teste@gmail.com,123456,,,
146,RAIMUNDO MEDRADO PRIMO,108teste@gmail.com,123456,,,
147,SANTA INÊS,109teste@gmail.com,123456,,,
148,SANTA TEREZINHA - Jz. 7,110teste@gmail.com,123456,,,
149,SANTO ANTÔNIO,111teste@gmail.com,123456,,,
150,SÃO FRANCISCO DE ASSIS - MULUNGU,112teste@gmail.com,123456,,,
151,SÃO FRANCISCO DE ASSIS - NH2,113teste@gmail.com,123456,,,
152,SÃO FRANCISCO DE ASSIS - PINHÕES,114teste@gmail.com,123456,,,
153,SÃO JOSE,115teste@gmail.com,123456,,,
154,SÃO SEBASTIÃO,116teste@gmail.com,123456,,,
155,VEREADOR AMADEUS DAMASIO,117teste@gmail.com,123456,,,
157,ZUMBI DOS PALMARES - EXT,119teste@gmail.com,123456,,,
